model,model_aux,type1,type2,,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 KEN(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 edc(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 FURLA(緊、線距2.55)(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 FURLA(線距2.65)(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 FURLA(磷銅線0.6)(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 KEN-MA(8.7mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 SPRIT 舊花模(鬆)(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 SPRIT(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 SPX 0.6,,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,母,母 SPX(9.2mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,公,公 太陽(9mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,公,公 同心圓(8.7mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,公,公(凸線型)-和昌,,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,腳,腳 同心圓(8.7mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,腳,腳 同心圓(9mm),,,,,,,,,,,,,,,,,,,,,,
SB201,SB201,腳,腳 同心圓(舊)(8.7mm),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,花面MINE(凹字),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,面,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,面（11.5x2.2x4.5）,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,面 雙包,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,面(10*2.2*5mm)-和漢特殊,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,面(11.5mm*2.2管),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,面(大孔特短),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,面,短面(10*3.5),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,母 無字,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 BANG 0.6,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 BANG 0.62,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 BTN502 0.6,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 BTN502 0.62,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 BTN502 0.65,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 CIT,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 EMR,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 JALINO(展獅),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 SPRIT 0.65,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 SPX,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 Timberland,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 TTK 0.6,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 TTK 0.6 大孔,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 TTK(展獅),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 六星 0.6,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 立0.55,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 立0.6,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 立0.6(不良品-字體斷掉),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母 無字有孔(白鐵線0.5),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,銅母(高度3.85mm),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 *K* BRAND 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 BANG 0.42,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 END 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 HHCCB 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 J P 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 M MARY 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 SPX 0.42,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 TTK 0.4,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 TTK 0.4(大孔),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 TTK 0.42,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 TTK 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 Y F 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 YAMADA 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 YI 0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 立0.45,,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 立輝(厚),,,,,,,,,,,,,,,,,,,,,,
SB202,SB202,母,鐵母 立輝(溝3.0),,,,,,,,,,,,,,,,,,,,,,
